date,ticker,flow_usd
2026-04-21,GBTC,-17500000.0
2026-04-21,ARKB,-14500000.0
2026-04-21,BITB,-12700000.0
2026-04-21,MSBT,10800000.0
2026-04-21,FBTC,-6600000.0
2026-04-21,HODL,-4300000.0
2026-04-21,BTCO,0.0
2026-04-21,EZBC,0.0
2026-04-21,BRRR,0.0
2026-04-21,BTCW,0.0
2026-04-22,IBIT,246900000.0
2026-04-22,FBTC,56700000.0
2026-04-22,GBTC,-16600000.000000002
2026-04-22,BITB,15400000.0
2026-04-22,ARKB,11900000.0
2026-04-22,MSBT,11300000.0
2026-04-22,BTCW,6300000.0
2026-04-22,HODL,3900000.0
2026-04-22,BTCO,0.0
2026-04-22,EZBC,0.0
2026-04-22,BRRR,0.0
2026-04-23,IBIT,167500000.0
2026-04-23,ARKB,71200000.0
2026-04-23,FBTC,-16900000.0
2026-04-23,MSBT,9400000.0
2026-04-23,BITB,-7600000.0
2026-04-23,HODL,-5500000.0
2026-04-23,BTCO,0.0
2026-04-23,EZBC,0.0
2026-04-23,BRRR,0.0
2026-04-23,BTCW,0.0
2026-04-23,GBTC,0.0
2026-04-24,IBIT,22900000.0
2026-04-24,MSBT,11100000.0
2026-04-24,ARKB,-9000000.0
2026-04-24,BITB,-8900000.0
2026-04-24,FBTC,-1700000.0
2026-04-24,BTCO,0.0
2026-04-24,EZBC,0.0
2026-04-24,BRRR,0.0
2026-04-24,HODL,0.0
2026-04-24,BTCW,0.0
2026-04-24,GBTC,0.0
2026-04-27,FBTC,-150400000.0
2026-04-27,GBTC,-46600000.0
2026-04-27,ARKB,-43300000.0
2026-04-27,HODL,-14100000.0
2026-04-27,BITB,-8800000.0
2026-04-27,IBIT,0.0
2026-04-27,BTCO,0.0
2026-04-27,EZBC,0.0
2026-04-27,BRRR,0.0
2026-04-27,BTCW,0.0
2026-04-27,MSBT,0.0
2026-04-28,IBIT,-112200000.0
2026-04-28,ARKB,41200000.0
2026-04-28,BITB,-13700000.0
